Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Loyalty_Level
251,338,17,4198.962996192265,1,2,5,8,2
252,360,31,3728.256326618188,1,4,4,9,2
253,129,10,303.7942490469069,4,1,1,6,3
254,267,49,1054.978802080474,2,5,2,9,2
255,151,22,2790.815040941902,3,3,3,9,2
256,298,30,3425.167986302547,1,3,4,8,2
257,99,49,696.9746186624224,4,5,1,10,1
258,263,21,1231.675844126996,2,3,2,7,2
259,252,36,973.6199564279798,2,4,1,7,2
260,144,23,1107.7857918260056,4,3,2,9,2
261,346,38,4604.358486608146,1,4,5,10,1
262,112,12,3581.939669463383,4,2,4,10,1
263,60,25,3688.1638322124836,5,3,4,12,1
264,2,20,3972.03660123772,5,2,4,11,1
265,304,49,1789.2994827938594,1,5,2,8,2
266,254,49,3838.2512258517113,2,5,4,11,1
267,140,42,4892.282837671456,4,5,5,14,0
268,37,7,3494.9872872453006,5,1,4,10,1
269,160,29,2089.59803033977,3,3,3,9,2
270,9,48,3584.635330697764,5,5,4,14,0
271,233,29,4504.965554311718,2,3,5,10,1
272,99,13,652.5201029431082,4,2,1,7,2
273,147,3,1333.8204311677598,3,1,2,6,3
274,304,2,4597.288114491237,1,1,5,7,2
275,208,16,4731.70217321819,3,2,5,10,1
276,131,30,2425.8542443185456,4,3,3,10,1
277,152,38,1879.0093073824546,3,4,2,9,2
278,54,6,1421.081209959116,5,1,2,8,2
279,120,45,2498.7701900439324,4,5,3,12,1
280,161,7,4673.310446439348,3,1,5,9,2
281,116,5,757.5500408480328,4,1,1,6,3
282,75,7,2104.954886350629,4,1,3,8,2
283,113,34,4558.92320621787,4,4,5,13,0
284,104,32,1752.105158019817,4,4,2,10,1
285,340,49,3842.7262211472503,1,5,4,10,1
286,254,13,1952.406333343099,2,2,2,6,3
287,227,30,4026.584124831978,2,3,5,10,1
288,112,25,4905.201726286471,4,3,5,12,1
289,99,21,1945.231832770639,4,3,2,9,2
290,153,21,4227.042286325261,3,3,5,11,1
291,349,28,4942.199955953101,1,3,5,9,2
292,338,48,4919.312413626159,1,5,5,11,1
293,194,20,2174.517696851207,3,2,3,8,2
294,310,34,2433.9479915402585,1,4,3,8,2
295,163,5,1523.97379259858,3,1,2,6,3
296,208,18,1576.9536309746015,3,2,2,7,2
297,169,39,2467.428406934854,3,4,3,10,1
298,161,43,1010.5877644209005,3,5,1,9,2
299,68,11,3558.5052478130883,5,2,4,11,1
300,289,17,2686.179588423719,2,2,3,7,2
301,277,48,4491.358607294679,2,5,5,12,1
302,304,45,4054.806344714599,1,5,5,11,1
303,135,22,1619.1308531022116,4,3,2,9,2
304,195,37,2533.96506885816,3,4,3,10,1
305,128,20,3755.069488917483,4,2,4,10,1
306,33,48,974.0686361171744,5,5,1,11,1
307,176,48,167.67267178974095,3,5,1,9,2
308,22,48,4262.999586278336,5,5,5,15,0
309,238,46,696.3757848898117,2,5,1,8,2
310,158,6,4448.163040458995,3,1,5,9,2
311,38,34,4568.904039166911,5,4,5,14,0
312,230,14,2308.8951863044144,2,2,3,7,2
313,51,48,4035.8407446393653,5,5,5,15,0
314,264,23,1822.3243193071503,2,3,2,7,2
315,283,20,4292.740097073617,2,2,5,9,2
316,27,13,4125.162601991917,5,2,5,12,1
317,226,47,401.80676460899997,2,5,1,8,2
318,277,44,2917.182686354312,2,5,3,10,1
319,286,41,3203.594528947773,2,5,4,11,1
320,97,32,14.27788053419809,4,4,1,9,2
321,284,26,4899.792410459184,2,3,5,10,1
322,317,14,2038.772198754547,1,2,3,6,3
323,304,36,2591.5425972374733,1,4,3,8,2
324,147,8,982.0723581671746,3,1,1,5,3
325,4,40,3058.4837018111334,5,4,4,13,0
326,35,22,4054.993132734001,5,3,5,13,0
327,192,22,2933.6028051414432,3,3,3,9,2
328,49,16,3942.294878552465,5,2,4,11,1
329,17,27,3658.228723983653,5,3,4,12,1
330,172,10,1195.9124795204189,3,1,2,6,3
331,220,25,2184.7060771346787,2,3,3,8,2
332,158,31,751.6481533376789,3,4,1,8,2
333,46,21,219.26001662475895,5,3,1,9,2
334,6,27,324.7140867680133,5,3,1,9,2
335,99,17,4713.074650065724,4,2,5,11,1
336,233,33,4922.841921080549,2,4,5,11,1
337,37,31,483.9377651687014,5,4,1,10,1
338,280,42,1682.615241508523,2,5,2,9,2
339,349,26,580.9591939785532,1,3,1,5,3
340,302,21,4172.8018286111555,1,3,5,9,2
341,181,36,2486.522487285006,3,4,3,10,1
342,95,1,3110.096162068491,4,1,4,9,2
343,99,4,2704.155220017681,4,1,3,8,2
344,188,4,3554.165383365173,3,1,4,8,2
345,116,26,1602.4698941521324,4,3,2,9,2
346,191,4,696.0918391048613,3,1,1,5,3
347,253,49,97.92381362127276,2,5,1,8,2
348,161,9,2234.007514243431,3,1,3,7,2
349,256,30,4540.093799669272,2,3,5,10,1
350,323,45,1533.2800246812108,1,5,2,8,2
351,128,4,987.8245374667591,4,1,1,6,3
352,18,5,4630.953303773064,5,1,5,11,1
353,281,45,536.1887073689579,2,5,1,8,2
354,223,23,268.48715674489245,2,3,1,6,3
355,54,16,4398.271743027635,5,2,5,12,1
356,58,22,3507.5378159538986,5,3,4,12,1
357,323,37,2116.1225043056897,1,4,3,8,2
358,360,8,3764.196425314117,1,1,4,6,3
359,174,48,3709.7853607009033,3,5,4,12,1
360,280,33,209.90221067030885,2,4,1,7,2
361,114,38,3384.471592188582,4,4,4,12,1
362,288,43,3207.953163489036,2,5,4,11,1
363,342,16,4819.257890717355,1,2,5,8,2
364,151,5,4833.44682469722,3,1,5,9,2
365,127,16,1895.2186377481992,4,2,2,8,2
366,155,7,2953.3111403222097,3,1,3,7,2
367,273,1,715.3733006930099,2,1,1,4,3
368,104,9,341.6180645260988,4,1,1,6,3
369,299,18,2169.571562571923,1,2,3,6,3
370,246,45,3452.511234066702,2,5,4,11,1
371,176,47,2843.128000265657,3,5,3,11,1
372,39,3,2153.9880417081495,5,1,3,9,2
373,170,24,4092.381608405209,3,3,5,11,1
374,247,28,3974.1930861968976,2,3,4,9,2
375,26,10,3662.390854838029,5,1,4,10,1
376,355,9,394.3909182872678,1,1,1,3,3
377,306,13,3984.3834431992614,1,2,4,7,2
378,13,48,4597.912366813553,5,5,5,15,0
379,316,35,306.6160205716731,1,4,1,6,3
380,313,23,2014.3402301545898,1,3,3,7,2
381,36,47,4941.893893685773,5,5,5,15,0
382,173,17,3000.201903756735,3,2,3,8,2
383,20,46,2572.7512366160395,5,5,3,13,0
384,321,7,895.4562758690303,1,1,1,3,3
385,264,16,2831.776553837508,2,2,3,7,2
386,142,40,2200.8258697425704,4,4,3,11,1
387,143,36,645.940847294914,4,4,1,9,2
388,92,20,2327.019936563991,4,2,3,9,2
389,354,24,830.3525328245497,1,3,1,5,3
390,322,47,3656.0114724130226,1,5,4,10,1
391,288,5,4868.505347056678,2,1,5,8,2
392,215,45,2353.189471644224,3,5,3,11,1
393,342,6,3165.517976253918,1,1,4,6,3
394,51,28,2160.567868586543,5,3,3,11,1
395,153,5,700.8847297484567,3,1,1,5,3
396,186,49,4853.070879512738,3,5,5,13,0
397,63,39,656.5975337795577,5,4,1,10,1
398,190,38,567.017774482568,3,4,1,8,2
399,125,2,2301.2729789397895,4,1,3,8,2
400,150,43,3297.8474561769913,3,5,4,12,1
401,314,39,1781.0671221547273,1,4,2,7,2
402,58,21,970.6599407625462,5,3,1,9,2
403,342,40,4096.627206457107,1,4,5,10,1
404,305,37,1821.8855698416605,1,4,2,7,2
405,180,18,979.6616571856969,3,2,1,6,3
406,170,48,1831.773538759282,3,5,2,10,1
407,326,46,1080.625496137527,1,5,2,8,2
408,271,12,2602.0442116835793,2,2,3,7,2
409,54,17,3344.764036827119,5,2,4,11,1
410,101,37,3999.791312223938,4,4,4,12,1
411,264,46,1145.5345312961308,2,5,2,9,2
412,53,38,843.1004884651832,5,4,1,10,1
413,60,15,107.82107026714858,5,2,1,8,2
414,108,7,1148.157964052741,4,1,2,7,2
415,5,14,129.28770896400323,5,2,1,8,2
416,103,1,1733.916276408406,4,1,2,7,2
417,196,38,737.0085132618827,3,4,1,8,2
418,262,3,2903.6790351566433,2,1,3,6,3
419,350,37,1924.7965298614529,1,4,2,7,2
420,47,44,476.99085194309015,5,5,1,11,1
421,355,31,2005.3336505526047,1,4,2,7,2
422,311,43,1054.6470986795796,1,5,2,8,2
423,308,13,3404.0849831871265,1,2,4,7,2
424,144,48,1828.536861405992,4,5,2,11,1
425,269,18,743.679745983579,2,2,1,5,3
426,124,17,1754.5126446973902,4,2,2,8,2
427,106,17,1129.6478863116256,4,2,2,8,2
428,158,11,3980.9372181755466,3,2,4,9,2
429,147,20,4917.004126221077,3,2,5,10,1
430,145,10,137.20203125853953,4,1,1,6,3
431,120,29,3453.2004852032564,4,3,4,11,1
432,319,48,1327.149589781198,1,5,2,8,2
433,275,34,341.37913290777936,2,4,1,7,2
434,92,17,81.61303483061464,4,2,1,7,2
435,58,42,4406.2382493700115,5,5,5,15,0
436,346,13,1774.4964453682196,1,2,2,5,3
437,229,44,4972.774021532115,2,5,5,12,1
438,117,47,2217.4620664747595,4,5,3,12,1
439,318,39,946.1127813391582,1,4,1,6,3
440,279,27,3887.9464069275036,2,3,4,9,2
441,127,26,4633.19615967282,4,3,5,12,1
442,129,28,4079.9489435697,4,3,5,12,1
443,58,13,3728.5441777973633,5,2,4,11,1
444,122,12,1680.1514756506508,4,2,2,8,2
445,1,44,331.8069158362631,5,5,1,11,1
446,239,28,1014.4837493148481,2,3,1,6,3
447,290,2,2239.583168694531,2,1,3,6,3
448,96,37,4781.437351371876,4,4,5,13,0
449,126,34,3617.042356580017,4,4,4,12,1
450,118,23,4143.132395389554,4,3,5,12,1
451,48,45,1393.696545563315,5,5,2,12,1
452,89,29,3422.276906992981,4,3,4,11,1
453,237,35,4313.566335456202,2,4,5,11,1
454,272,11,2402.2634593339567,2,2,3,7,2
455,189,48,2155.160382551486,3,5,3,11,1
456,192,33,3599.8285220245757,3,4,4,11,1
457,69,11,2803.959314361284,5,2,3,10,1
458,278,9,4965.923705138279,2,1,5,8,2
459,349,14,2131.2629756355227,1,2,3,6,3
460,247,9,887.9569538516831,2,1,1,4,3
461,76,39,2364.9559134037013,4,4,3,11,1
462,154,48,1183.6729155576795,3,5,2,10,1
463,144,3,2810.65656576456,4,1,3,8,2
464,86,29,637.7269922653497,4,3,1,8,2
465,185,19,4750.381605010438,3,2,5,10,1
466,285,36,4300.516178885403,2,4,5,11,1
467,220,32,786.2713315732633,2,4,1,7,2
468,69,7,870.2406845075783,5,1,1,7,2
469,47,28,2567.068985695202,5,3,3,11,1
470,94,44,3866.6781213382087,4,5,4,13,0
471,238,18,1103.205884980972,2,2,2,6,3
472,204,5,314.24888060206393,3,1,1,5,3
473,218,23,2732.2160401472493,2,3,3,8,2
474,341,22,3461.0695993690297,1,3,4,8,2
475,39,26,1229.3838015506578,5,3,2,10,1
476,100,42,3701.4412608756843,4,5,4,13,0
477,289,12,4753.712486873597,2,2,5,9,2
478,254,40,694.0014690005096,2,4,1,7,2
479,222,19,2560.0350358903897,2,2,3,7,2
480,357,47,293.64133390109714,1,5,1,7,2
481,23,1,1041.2384260812707,5,1,2,8,2
482,250,3,458.1985737707557,2,1,1,4,3
483,10,27,2025.9930491702105,5,3,3,11,1
484,246,18,4105.95063397004,2,2,5,9,2
485,325,30,2889.8809481036888,1,3,3,7,2
486,100,2,1120.6983374554995,4,1,2,7,2
487,290,5,210.15212900765823,2,1,1,4,3
488,180,29,2771.4569944808973,3,3,3,9,2
489,223,33,672.6556078029492,2,4,1,7,2
490,250,42,1720.2427965451486,2,5,2,9,2
491,147,20,2555.8593719788937,3,2,3,8,2
492,96,30,4519.6253530741005,4,3,5,12,1
493,257,42,418.2984021726977,2,5,1,8,2
494,325,5,3346.3518854114845,1,1,4,6,3
495,4,21,80.26561466934385,5,3,1,9,2
496,16,15,3153.243676277876,5,2,4,11,1
497,280,20,2762.1471217596622,2,2,3,7,2
498,336,8,4061.214434249438,1,1,5,7,2
499,247,49,2662.9957395937518,2,5,3,10,1
500,258,31,1769.556832633426,2,4,2,8,2
501,160,12,1221.3268479278506,3,2,2,7,2
502,340,21,435.3962114925443,1,3,1,5,3
503,152,30,2677.7172447391918,3,3,3,9,2
504,178,27,4442.7264139763565,3,3,5,11,1
505,163,44,2578.5750248388904,3,5,3,11,1
506,33,26,3698.123258754803,5,3,4,12,1
507,179,33,1499.1903417057022,3,4,2,9,2
508,101,26,2246.172990775091,4,3,3,10,1
509,268,26,1629.7699851951977,2,3,2,7,2
510,323,36,555.237895660938,1,4,1,6,3
511,65,40,2090.77313038469,5,4,3,12,1
512,168,1,3823.79328686771,3,1,4,8,2
513,330,15,1980.925247727141,1,2,2,5,3
514,43,1,3254.3943188691537,5,1,4,10,1
515,44,11,3795.4912654137925,5,2,4,11,1
516,285,2,1620.45377380945,2,1,2,5,3
517,12,1,3989.597652431329,5,1,4,10,1
518,95,31,1701.2393276788512,4,4,2,10,1
519,302,44,1287.9742316976758,1,5,2,8,2
520,253,16,1120.0063771217265,2,2,2,6,3
521,242,22,1007.521687166948,2,3,1,6,3
522,35,42,3688.24912333885,5,5,4,14,0
523,215,18,4438.6712126740185,3,2,5,10,1
524,337,47,1160.9358861845933,1,5,2,8,2
525,90,17,435.3490860028082,4,2,1,7,2
526,264,30,1575.6972116793077,2,3,2,7,2
527,93,10,3292.6577222175797,4,1,4,9,2
528,90,35,1848.915260207934,4,4,2,10,1
529,115,21,2750.3909306639816,4,3,3,10,1
530,105,16,3724.0817787192245,4,2,4,10,1
531,196,6,2048.307870463692,3,1,3,7,2
532,314,3,4998.477208542262,1,1,5,7,2
533,114,41,1496.7668085751575,4,5,2,11,1
534,75,43,4891.459275844359,4,5,5,14,0
535,217,21,1023.1180295132385,3,3,1,7,2
536,277,13,563.549398888806,2,2,1,5,3
537,249,18,3756.644819220896,2,2,4,8,2
538,164,24,3514.5251866894782,3,3,4,10,1
539,357,27,4057.7350427398974,1,3,5,9,2
540,192,4,1724.5162044491915,3,1,2,6,3
541,227,22,4654.730192726389,2,3,5,10,1
542,177,24,606.2123275816634,3,3,1,7,2
543,99,40,161.0827356423195,4,4,1,9,2
544,36,45,1509.8137867087378,5,5,2,12,1
545,96,10,3988.6490723672496,4,1,4,9,2
546,152,2,3368.1817132955043,3,1,4,8,2
547,151,40,2186.6817334708894,3,4,3,10,1
548,190,6,1288.705534829734,3,1,2,6,3
549,224,48,305.77120597220625,2,5,1,8,2
550,37,18,1694.1528364528879,5,2,2,9,2
551,268,17,2305.4986410962006,2,2,3,7,2
552,183,38,3438.2489519753144,3,4,4,11,1
553,13,45,3233.4000551826907,5,5,4,14,0
554,279,23,4737.251065630071,2,3,5,10,1
555,217,46,510.9756360737766,3,5,1,9,2
556,355,30,1688.3372131668907,1,3,2,6,3
557,361,21,2413.0746288651226,1,3,3,7,2
558,286,10,3356.7720113314062,2,1,4,7,2
559,273,43,2482.3039402926174,2,5,3,10,1
560,62,13,4564.663577414226,5,2,5,12,1
561,84,12,3047.2750045430694,4,2,4,10,1
562,217,9,207.93039435916404,3,1,1,5,3
563,342,4,577.14328564001,1,1,1,3,3
564,187,39,3769.942851787987,3,4,4,11,1
565,19,24,3581.7806047680083,5,3,4,12,1
566,177,34,775.9500391102687,3,4,1,8,2
567,100,39,303.9542187176736,4,4,1,9,2
568,233,41,2897.802098644944,2,5,3,10,1
569,76,5,3182.3367718134,4,1,4,9,2
570,265,15,685.1451911890463,2,2,1,5,3
