price,cost,sales,profitable
15.78,38.46,829,0
11.52,33.63,320,0
27.03,30.6,262,0
49.35,14.12,406,1
15.89,39.11,582,0
35.25,34.99,970,0
39.27,25.69,770,1
15.69,25.46,975,0
37.77,27.77,850,1
21.55,38.13,850,0
33.45,34.69,805,0
33.51,39.25,205,0
29.11,25.29,139,0
9.06,29.99,858,0
42.59,39.18,946,1
19.44,14.29,112,1
13.39,22.76,468,0
6.83,29.83,481,0
31.59,41.61,540,0
35.49,5.63,88,1
5.75,13.5,197,0
28.04,14.38,894,1
15.19,18.06,528,0
34.03,16.27,215,1
12.85,28.61,72,0
36.09,40.42,957,0
22.4,30.48,311,0
47.15,14.66,777,1
11.19,39.55,147,0
20.35,30.28,530,0
10.11,13.76,568,0
46.61,19.47,868,1
44.48,36.6,319,1
16.61,34.56,789,0
34.7,28.06,65,1
41.77,10.79,799,1
29.98,37.13,712,0
28.83,17.3,323,1
15.88,35.86,270,0
9.19,30.9,952,0
45.37,15.57,629,1
45.52,13.49,330,1
33.49,10.24,594,1
20.26,14.68,612,1
20.71,11.31,840,1
37.67,29.68,867,1
45.37,28.95,710,1
44.92,28.45,624,1
40.09,30.68,966,1
33.89,37.59,171,0
8.79,41.54,417,0
12.27,14.22,588,0
45.43,28.51,258,1
32.29,8.13,203,1
5.41,9.81,324,0
9.57,31.17,274,0
34.86,24.46,107,1
5.23,35.33,812,0
12.24,22.03,289,0
29.69,10.1,549,1
36.14,39.88,312,0
34.34,8.32,280,1
15.09,12.56,448,1
37.05,16.08,115,1
15.68,44.81,499,0
19.64,21.67,258,1
38.59,25.07,531,1
34.23,35.79,480,1
43.22,30.46,95,1
34.59,38.66,906,0
30.57,24.46,764,1
9.22,43.89,605,0
21.55,36.87,698,0
16.93,21.05,120,0
15.98,20.25,828,0
48.79,42.18,676,0
22.69,32.38,617,0
45.14,29.86,181,1
33.4,35.31,430,1
40.77,27.43,342,1
27.62,11.37,907,1
30.96,17.77,934,1
27.16,27.32,339,1
13.79,5.73,385,1
37.51,22.49,666,1
17.63,35.23,96,0
6.09,11.57,79,0
34.05,7.58,679,1
12.97,38.44,95,0
47.32,29.69,897,1
47.93,12.06,631,1
46.17,37.25,594,1
21.66,31.33,99,0
5.7,18.36,832,0
46.77,20.05,837,1
24.27,11.24,509,1
48.5,38.41,944,1
48.36,25.36,137,1
43.39,27.28,89,1
18.25,40.34,593,0
22.33,5.63,538,1
43.3,7.68,146,1
19.26,11.46,673,1
12.63,6.2,799,1
30.06,31.33,573,1
47.13,30.36,320,1
36.32,13.43,236,1
30.65,10.98,749,1
9.37,10.83,633,0
32.68,43.13,821,0
49.55,32.74,76,1
11.3,28.42,150,0
28.32,17.9,491,1
44.48,22.32,742,1
38.33,8.58,600,1
36.37,44.93,448,0
36.61,35.2,324,0
21.18,29.86,678,0
18.21,28.51,63,0
41.42,25.17,376,1
41.46,15.3,951,1
44.02,14.06,979,1
46.1,26.98,777,1
28.01,7.81,686,1
27.57,7.98,842,1
40.92,27.43,474,1
34.25,41.79,650,0
36.59,41.57,867,1
40.81,5.43,160,1
45.05,9.3,640,1
20.21,28.32,731,0
21.9,38.94,372,0
9.23,43.18,917,0
31.02,39.42,499,0
6.62,32.1,583,0
25.95,13.02,717,1
29.42,7.9,913,1
17.89,6.9,920,1
31.59,29.48,266,0
6.37,6.45,562,0
6.68,34.57,989,0
42.02,33.5,456,1
21.21,8.18,822,1
10.72,41.26,673,0
28.5,25.88,660,1
39.65,41.18,124,0
14.71,41.06,704,0
33.03,12.88,502,1
8.84,20.22,791,0
7.33,10.39,949,0
28.91,36.0,989,0
29.33,25.16,635,1
33.68,42.15,82,0
37.67,13.33,237,1
48.91,32.53,667,1
28.23,44.57,607,0
19.53,31.62,844,0
40.78,7.75,924,1
17.19,28.54,77,0
24.75,12.19,479,1
8.53,6.22,156,1
6.14,18.4,83,0
48.32,15.64,462,1
42.62,36.55,657,1
36.32,19.95,176,1
23.4,34.32,618,0
12.8,5.65,685,1
12.04,5.59,199,1
16.26,6.17,812,1
29.72,13.77,960,1
37.16,19.96,588,1
34.71,29.31,763,1
17.6,44.44,172,0
47.97,19.18,138,1
38.21,7.23,621,1
29.95,12.8,380,1
32.53,40.91,121,0
23.88,32.98,966,0
16.15,36.61,505,0
21.02,9.97,342,1
39.1,10.4,969,1
5.65,9.49,671,0
10.22,39.29,175,0
7.07,13.4,609,0
6.83,30.73,968,0
43.5,25.65,301,1
36.66,26.78,521,1
26.34,12.82,318,1
9.4,30.41,935,0
27.12,6.72,280,1
26.31,44.74,364,0
12.79,6.07,950,1
24.52,7.01,576,1
22.93,17.99,585,1
32.71,38.27,892,0
33.58,15.29,825,1
7.04,23.88,667,0
21.86,5.72,521,1
33.16,8.16,680,1
27.64,29.32,919,1
43.54,12.77,219,1
34.64,32.77,164,1
12.33,36.42,696,0
8.18,39.01,421,0
33.91,10.35,201,1
6.19,23.22,332,0
31.36,42.88,534,0
47.31,35.88,688,1
30.9,9.68,414,1
22.47,25.1,564,0
33.95,41.9,609,0
25.62,22.6,791,0
29.55,38.5,967,0
47.37,24.83,985,1
22.37,9.27,353,1
48.25,10.91,226,1
45.74,6.87,334,1
13.81,12.81,763,1
8.12,40.74,66,0
9.54,31.01,795,0
5.82,34.55,568,0
9.25,29.87,220,0
35.74,20.46,340,1
8.2,13.67,729,0
19.35,42.02,756,0
43.02,25.59,254,1
6.05,24.24,183,0
41.65,44.84,514,0
17.68,20.36,819,0
10.32,39.17,600,0
36.35,39.49,941,0
33.3,14.31,663,1
44.49,8.79,594,1
38.08,44.02,411,0
41.16,22.04,200,1
17.69,5.09,933,1
12.98,24.96,82,0
38.78,29.77,138,1
41.31,36.04,639,1
49.57,42.72,532,1
23.57,41.61,591,0
21.74,42.61,826,0
39.94,6.29,911,1
20.34,33.47,175,0
46.88,14.03,120,1
43.63,12.5,111,1
24.3,37.01,761,0
38.79,21.69,376,1
38.95,41.66,795,0
9.64,6.7,780,1
45.61,37.09,202,1
27.74,10.47,224,1
42.19,12.06,356,1
19.4,24.09,845,0
45.3,20.82,403,1
22.51,24.45,421,1
5.49,42.6,251,0
45.74,31.3,686,1
9.11,16.61,981,0
19.37,11.92,750,1
47.75,21.8,407,1
47.78,23.07,884,1
30.8,29.05,765,1
33.43,15.64,978,1
25.18,35.7,239,0
18.19,8.94,715,1
19.79,27.42,553,0
35.26,29.94,794,1
38.86,13.27,282,1
40.62,38.04,311,1
40.53,29.62,116,1
9.1,30.83,268,0
27.25,24.91,831,1
7.59,41.38,674,0
29.73,32.76,994,1
24.87,20.27,867,1
44.95,14.54,124,1
20.79,7.84,805,1
10.27,11.61,292,0
11.43,44.71,706,0
39.27,21.27,744,1
32.82,40.95,237,1
9.55,11.82,223,0
8.78,22.01,481,0
36.54,43.42,111,1
8.27,8.65,805,1
41.98,28.76,193,1
36.78,41.77,429,0
8.66,42.99,284,0
8.82,38.84,498,0
49.4,39.24,865,1
21.84,31.09,615,0
21.68,13.82,495,1
41.58,34.23,439,1
47.63,44.14,210,1
49.37,26.04,248,1
38.9,15.43,377,1
21.93,27.94,678,0
8.76,32.62,987,0
39.97,13.33,172,1
30.13,33.77,591,1
24.09,28.5,568,1
45.79,29.49,985,1
10.0,17.24,366,0
27.17,11.21,542,1
5.51,29.94,191,0
26.09,28.45,238,0
7.53,18.52,369,0
10.35,16.84,616,0
10.29,18.89,884,0
34.21,24.6,139,1
38.57,43.99,477,0
31.25,35.54,875,0
48.3,39.07,211,1
21.87,25.23,561,0
17.86,26.04,655,0
44.09,13.17,304,1
15.06,33.84,527,0
48.35,21.86,490,1
5.55,34.7,718,0
48.64,21.36,214,1
6.94,9.34,797,0
45.1,11.92,394,1
28.75,37.46,117,0
49.68,15.34,879,1
8.32,15.57,300,0
29.92,42.17,50,0
48.62,31.31,761,1
28.54,9.57,678,1
33.32,10.74,485,1
36.31,15.89,618,1
25.45,28.76,874,0
33.24,35.11,371,0
31.29,15.98,898,1
45.55,39.83,366,1
7.05,9.37,869,0
17.64,13.3,412,1
47.77,43.82,610,1
45.06,10.39,584,1
25.5,40.52,774,0
32.91,33.16,782,1
17.48,7.92,374,1
13.47,24.35,913,0
25.87,25.76,198,0
20.9,42.29,747,0
31.26,21.84,314,1
8.5,22.87,248,0
48.85,9.5,131,1
49.38,30.57,128,1
36.42,13.44,778,1
29.12,8.1,225,1
18.93,44.88,385,0
41.62,15.79,773,1
35.81,10.64,542,1
12.32,32.98,86,0
45.99,37.87,164,1
42.01,7.56,54,1
47.74,9.22,978,1
37.66,8.61,498,1
32.6,6.88,801,1
23.82,31.38,930,0
46.97,28.53,56,1
43.97,31.51,347,1
7.03,25.23,365,0
6.19,37.7,437,0
21.94,26.87,821,0
41.47,41.75,286,0
49.43,24.43,382,1
11.77,36.63,660,0
31.74,21.29,924,1
22.14,22.41,963,1
48.65,38.96,165,1
42.9,9.31,686,1
42.72,27.6,995,1
26.09,34.05,671,0
23.67,35.02,764,0
17.3,28.66,830,0
7.54,22.92,336,0
43.91,15.43,536,1
41.58,41.38,347,1
49.99,19.79,631,1
49.85,36.96,931,1
29.99,6.27,188,1
39.6,14.29,198,1
47.51,18.82,715,1
43.23,31.86,64,1
16.13,17.77,457,1
25.27,6.65,493,1
10.81,11.95,387,0
47.93,15.37,505,1
32.28,12.04,154,1
15.29,13.15,980,1
35.23,35.76,845,0
32.82,21.48,718,1
21.12,21.21,288,0
10.11,43.66,869,0
35.22,22.87,671,1
28.41,42.11,239,0
39.75,16.96,617,1
28.41,21.03,307,1
43.35,20.85,131,1
29.84,26.84,242,0
30.24,28.37,368,1
44.45,14.93,621,1
23.16,36.74,414,0
11.03,24.86,926,0
6.3,5.28,447,1
38.98,28.65,845,1
32.91,36.92,93,0
36.68,15.02,938,1
14.58,6.51,493,1
11.14,37.29,454,0
5.65,44.05,517,0
20.78,8.06,339,1
31.55,42.52,531,0
22.65,19.37,415,1
24.69,42.66,487,0
45.69,30.95,216,1
20.67,40.61,309,0
28.13,36.43,796,0
40.26,6.12,205,1
22.84,7.62,856,1
32.99,26.03,754,1
43.81,10.18,222,1
47.73,23.44,889,1
11.62,43.19,366,0
46.7,16.79,365,1
27.15,24.56,449,1
16.62,20.37,612,0
25.66,30.19,161,0
49.1,12.75,606,1
27.17,15.4,848,1
19.79,39.35,696,0
33.5,37.45,356,0
15.81,36.57,438,0
8.41,35.84,243,0
10.8,23.38,858,0
10.76,34.16,545,0
11.84,20.49,678,0
11.25,9.03,629,1
33.84,20.73,827,1
13.18,11.35,660,1
20.56,20.63,882,1
45.36,16.9,308,1
26.33,28.97,476,1
35.04,19.46,990,1
12.75,33.22,459,0
13.65,25.49,130,0
6.84,41.78,555,0
12.6,8.64,347,1
17.54,32.51,633,0
12.97,31.9,79,0
8.99,43.03,889,0
10.43,19.86,270,0
25.74,17.22,420,1
14.29,11.9,299,1
21.39,15.61,804,1
27.65,25.08,73,0
36.07,38.51,378,0
6.77,16.37,389,0
40.97,11.31,933,1
33.26,15.89,477,1
8.68,9.04,958,0
44.31,42.07,854,1
46.44,39.9,324,0
7.75,17.34,310,0
17.46,14.88,981,0
41.28,41.22,777,1
38.67,5.07,550,1
13.3,29.02,613,0
14.42,41.64,979,0
21.67,25.34,416,1
26.8,5.12,185,1
32.82,13.75,287,1
21.6,41.9,53,0
25.81,5.68,797,1
38.64,20.79,407,1
6.65,36.59,761,0
16.36,38.52,122,0
37.1,24.1,90,1
45.28,14.3,545,1
28.03,28.99,474,1
28.95,15.55,808,1
9.82,15.21,592,0
25.13,37.3,144,0
28.97,11.17,109,1
15.91,5.22,484,1
17.12,18.47,857,1
21.98,24.64,504,0
5.9,33.2,74,0
19.49,36.24,758,0
14.52,31.54,878,0
19.74,30.06,963,0
10.39,31.63,888,0
45.07,15.86,983,1
31.71,20.29,625,1
35.56,29.66,487,1
40.51,7.62,411,1
27.43,16.81,384,1
8.91,21.26,226,0
29.17,26.34,862,1
31.41,24.46,751,1
38.54,33.73,101,1
24.42,23.94,80,0
10.74,41.17,233,0
17.77,20.21,166,0
21.34,26.01,122,0
34.07,5.13,196,1
30.69,17.42,173,1
21.02,39.66,887,0
49.39,18.34,743,1
32.26,15.13,661,1
15.68,26.74,973,0
9.58,8.15,492,1
11.88,26.26,879,0
16.07,17.15,227,0
12.23,20.32,727,0
13.4,36.65,59,0
17.83,31.48,212,0
12.8,22.84,607,0
45.35,28.1,841,1
8.61,35.67,659,0
28.6,34.83,676,0
23.47,12.41,378,1
49.21,17.04,403,1
10.04,18.93,768,0
22.9,12.5,140,1
48.63,5.49,396,1
43.95,11.96,688,1
41.77,37.33,465,1
16.61,26.84,286,0
12.69,18.67,588,0
35.09,29.33,75,1
46.82,34.59,221,1
30.05,19.18,706,1
30.72,23.64,961,1
17.6,7.57,532,1
39.63,28.88,715,1
13.42,19.26,919,0
19.57,22.34,361,0
24.14,21.9,271,0
27.84,30.3,539,0
15.91,27.9,470,0
10.17,21.88,643,0
32.48,5.68,269,1
17.99,29.84,281,0
31.16,40.18,705,0
11.95,35.78,307,0
26.65,44.26,975,0
28.97,10.56,378,1
7.33,13.9,488,0
20.15,26.57,240,0
11.05,14.44,932,0
7.85,6.38,369,1
49.55,21.09,114,1
19.51,16.51,716,0
41.44,15.55,295,1
16.46,43.13,186,0
35.67,14.54,908,1
39.21,10.18,216,1
31.8,10.01,212,1
26.22,37.25,722,0
23.53,33.59,446,0
20.7,10.18,895,1
46.83,13.79,486,1
42.38,34.89,50,1
48.43,15.98,227,1
10.59,44.26,888,0
37.89,26.62,992,1
47.23,12.68,530,1
13.16,39.35,920,0
7.99,17.78,293,0
38.35,16.55,741,1
30.85,18.1,851,1
42.88,35.73,287,1
11.29,11.93,166,0
40.79,20.27,397,1
14.07,6.23,56,1
12.36,38.07,223,0
12.39,18.63,165,0
41.66,14.93,304,1
34.93,28.2,521,1
28.54,33.2,640,0
21.15,37.52,585,0
44.47,18.91,652,1
22.66,37.49,600,0
41.75,23.6,244,1
24.76,9.05,891,1
21.96,38.85,253,0
25.82,26.91,218,1
18.56,29.1,206,0
38.64,42.5,761,0
27.62,27.37,834,0
15.45,5.22,954,1
45.48,39.82,936,1
22.28,16.39,539,1
29.46,25.07,555,1
45.79,13.2,832,1
33.09,16.88,53,1
10.26,32.47,710,0
47.29,22.18,632,1
33.25,30.09,993,1
20.07,37.94,953,0
11.27,18.63,607,0
40.73,27.73,773,1
32.9,36.1,696,0
29.01,33.6,159,0
45.23,26.59,247,1
40.49,20.34,442,1
11.83,21.3,481,0
19.03,22.33,149,0
16.18,18.95,101,0
38.48,32.96,462,1
6.51,10.02,52,0
30.65,43.7,670,0
39.31,36.16,208,1
44.45,16.93,393,1
20.39,6.7,112,1
41.96,33.45,201,1
9.98,34.37,225,0
43.09,43.54,149,0
10.74,15.15,852,0
22.88,8.31,935,1
40.88,41.61,586,0
11.75,15.35,233,0
15.32,33.86,408,0
37.5,7.43,296,1
37.4,35.42,582,1
33.85,10.08,704,1
36.23,32.82,787,0
29.42,26.29,180,1
16.33,43.22,938,0
20.56,6.48,59,1
13.17,16.68,227,0
45.88,7.78,768,1
31.25,40.17,558,0
23.04,28.76,175,0
25.79,26.4,897,0
47.63,10.26,574,1
11.9,24.56,93,0
31.38,20.95,797,1
27.76,17.63,434,1
32.52,35.89,736,0
5.81,7.45,299,0
44.25,30.87,104,1
46.95,37.92,722,1
30.43,41.29,321,0
36.35,34.84,609,1
46.51,16.3,340,1
36.83,29.02,100,1
11.86,10.66,895,1
30.93,9.68,666,1
32.3,30.54,396,1
24.09,39.04,477,0
38.14,7.69,993,1
47.05,9.24,434,1
46.65,27.62,803,1
25.29,13.73,924,1
10.1,29.47,399,0
49.32,13.58,340,1
42.75,9.66,560,1
10.61,26.82,955,0
46.44,39.49,400,1
44.15,32.4,573,1
28.35,37.75,665,0
31.61,15.65,596,1
22.96,40.44,275,0
7.46,20.08,728,0
20.08,39.1,689,0
41.13,23.85,401,1
5.21,15.71,765,0
20.01,15.41,478,1
22.92,27.71,845,0
29.18,8.16,772,1
46.39,42.2,969,1
20.59,15.86,965,1
20.61,18.42,519,1
38.19,14.33,572,1
25.35,5.12,333,1
15.11,32.7,793,0
25.36,28.62,69,1
11.34,37.39,804,0
12.94,6.64,421,1
27.43,42.15,363,0
23.85,18.24,857,1
46.17,41.52,824,1
21.31,9.29,903,1
31.13,34.76,470,1
33.45,28.17,817,1
5.59,19.33,462,0
34.86,8.17,125,1
13.01,29.19,398,0
48.25,6.06,469,1
11.69,25.05,596,0
23.66,29.17,668,0
8.84,34.3,711,0
49.86,44.65,323,0
27.6,15.4,490,1
31.79,17.9,135,1
8.02,18.65,644,0
38.75,34.26,595,1
14.45,42.27,506,0
45.41,43.97,379,1
14.23,42.83,132,0
13.58,40.18,663,0
6.64,44.64,570,0
26.24,20.04,868,1
30.42,42.93,589,0
7.96,35.44,271,0
39.9,11.74,842,1
25.4,6.82,259,1
28.6,13.58,485,1
24.83,36.15,587,0
23.03,30.27,196,0
30.18,13.97,268,1
11.99,34.68,917,0
13.19,10.65,117,1
43.78,37.87,354,1
47.58,36.77,75,1
21.8,43.9,862,0
17.18,11.01,372,1
33.98,41.26,678,0
23.39,18.64,149,1
6.14,21.64,696,0
12.03,23.74,827,0
37.22,30.08,542,1
34.65,44.79,757,0
6.22,29.0,952,0
14.99,42.07,711,0
15.4,15.2,303,1
35.24,20.94,519,1
5.89,25.18,870,0
9.68,17.92,78,0
41.0,44.07,956,0
13.03,34.03,176,0
34.37,24.16,240,1
15.72,35.05,750,0
9.47,23.7,873,0
15.94,5.69,170,1
37.5,26.73,285,1
43.51,30.01,874,1
42.36,44.25,951,1
22.87,6.63,86,1
35.06,25.48,318,1
14.22,8.93,274,1
18.19,10.96,96,1
45.34,29.42,548,1
5.59,14.26,505,0
8.85,34.97,892,0
14.35,25.57,530,0
6.19,13.73,753,0
13.16,24.75,402,0
31.24,5.04,989,1
23.96,39.51,481,0
45.17,5.51,537,1
41.78,5.28,652,1
20.38,29.46,543,0
16.67,43.94,920,0
22.09,39.24,707,0
31.56,15.08,167,1
17.06,12.87,222,1
33.09,30.04,977,1
23.42,37.91,286,0
29.84,19.48,794,1
24.63,22.29,73,1
18.25,9.62,135,1
47.68,11.11,995,1
39.36,27.73,620,1
11.31,9.11,816,1
44.08,13.08,308,1
26.93,14.39,116,1
45.25,22.76,63,1
40.99,6.82,145,1
24.13,24.99,506,1
6.01,42.15,833,0
17.09,5.98,266,1
29.37,30.24,758,0
33.51,38.43,239,0
16.6,17.5,510,0
11.27,10.26,748,0
42.57,6.73,400,1
49.3,30.76,198,1
28.66,27.09,473,1
12.73,14.17,878,1
17.25,38.26,100,0
5.83,34.42,762,0
46.14,16.06,134,1
10.3,35.13,250,0
30.94,14.8,59,1
17.33,32.01,986,0
29.94,9.74,541,1
34.31,32.69,317,0
42.34,14.55,261,1
14.29,27.9,547,0
5.49,11.9,497,0
11.16,34.04,433,0
45.5,7.44,304,1
44.33,11.62,472,1
31.88,12.37,402,1
32.02,6.65,241,1
34.93,34.8,248,1
12.89,44.24,306,0
46.15,36.14,63,1
23.84,39.43,990,0
22.24,5.24,454,1
28.35,9.71,734,1
7.11,27.36,930,0
12.48,44.11,761,0
38.21,31.43,898,1
8.73,19.97,623,0
32.14,10.85,606,1
16.04,11.11,487,1
22.52,19.51,432,1
17.99,33.55,418,0
21.01,6.27,896,1
37.36,39.09,947,1
18.37,42.66,958,0
30.49,40.55,293,0
26.42,41.52,974,0
34.87,5.61,205,1
47.16,44.11,825,0
37.97,19.65,468,1
14.67,39.77,841,0
6.4,12.47,56,0
16.8,22.86,589,0
31.78,6.77,139,1
7.31,6.6,770,1
27.34,42.73,240,0
31.86,37.42,791,0
20.04,26.19,567,0
39.69,26.02,939,1
9.8,34.95,425,0
8.38,18.67,316,0
37.77,35.47,87,1
27.3,24.4,499,1
35.98,30.52,496,1
24.57,43.59,81,0
16.09,23.85,843,0
41.86,21.74,272,1
40.97,41.23,849,1
36.26,41.1,212,0
17.25,44.7,691,0
31.56,27.03,948,1
21.24,18.77,722,1
9.12,14.62,56,0
46.28,6.36,262,1
11.16,34.07,993,0
47.76,14.34,650,1
25.07,29.27,129,0
13.33,41.66,968,0
29.39,43.01,386,0
44.28,5.18,402,1
37.95,17.68,408,1
41.3,38.5,520,1
34.65,26.46,826,1
36.15,37.3,372,0
43.21,39.13,225,1
16.24,22.71,212,0
27.02,19.36,879,1
14.95,23.22,969,0
49.45,31.11,887,1
47.48,19.69,772,1
6.77,36.0,809,0
36.75,41.16,639,0
46.64,16.29,308,1
13.13,43.6,567,0
30.56,29.91,469,0
46.2,40.13,135,1
6.53,9.16,870,0
36.38,15.06,181,1
18.38,17.84,571,0
46.6,17.11,785,1
48.7,11.87,544,1
47.49,39.73,930,1
26.34,21.74,98,1
43.79,43.53,988,0
43.0,28.34,62,1
19.36,10.54,900,1
42.3,26.84,415,1
6.67,44.74,424,0
31.83,27.61,732,1
15.35,5.07,807,1
10.43,42.32,407,0
8.46,14.4,225,0
36.33,32.54,267,1
20.29,25.6,719,0
37.61,18.02,860,1
7.94,16.31,720,0
19.19,42.15,868,0
29.28,41.48,343,0
40.58,25.53,708,1
19.34,15.34,712,1
33.17,9.09,483,1
44.87,11.26,223,1
32.71,25.89,858,1
15.48,17.31,251,1
6.1,6.68,640,0
44.15,23.21,931,1
5.96,34.85,450,0
44.36,40.67,485,0
28.8,28.41,318,0
47.26,33.93,969,1
40.95,19.56,385,1
49.91,24.85,536,1
20.78,34.19,663,0
39.52,34.11,975,1
23.09,21.98,158,1
26.59,26.75,939,0
33.24,41.95,605,0
44.32,30.28,936,1
49.28,30.7,576,1
39.57,36.38,565,0
23.8,9.61,809,1
23.96,25.92,285,1
38.19,43.38,613,0
15.74,19.47,251,0
9.97,16.8,921,0
20.96,29.05,607,0
17.93,13.84,620,1
18.33,27.24,223,0
15.51,11.23,593,1
6.89,28.19,198,0
5.8,29.1,334,0
49.45,21.74,975,1
24.25,20.31,682,1
22.29,14.82,824,1
35.58,18.24,603,1
14.82,24.93,816,0
47.75,14.91,891,1
40.39,36.31,551,1
9.02,33.36,739,0
23.79,15.77,647,1
44.56,8.9,557,1
47.51,5.01,66,1
26.03,28.87,451,1
32.6,13.45,287,1
12.52,5.5,694,1
49.6,19.36,494,1
15.43,43.48,984,0
47.42,32.6,770,1
34.23,39.31,915,0
32.35,10.79,757,1
28.07,7.93,986,1
15.38,5.46,121,1
12.94,43.23,75,0
14.92,17.01,138,0
13.39,23.38,533,0
40.08,20.78,284,1
20.76,34.22,88,0
7.6,17.4,884,0
48.61,26.42,93,1
44.77,44.82,409,1
46.75,22.76,113,1
49.77,27.05,984,1
12.83,25.1,745,0
22.83,37.13,522,0
39.12,15.67,647,1
36.32,11.82,958,1
11.93,35.16,949,0
41.71,21.62,333,1
15.1,41.55,644,0
15.07,30.77,820,0
29.16,27.57,815,0
31.68,7.82,844,1
31.1,34.22,750,0
9.12,32.44,556,0
44.49,30.6,380,1
16.95,15.72,695,1
10.83,42.87,353,0
44.99,17.87,784,1
48.0,11.09,617,1
43.8,44.49,590,0
41.43,34.85,761,1
34.49,21.59,892,1
29.79,42.44,681,0
8.91,8.64,506,0
23.38,8.51,336,1
21.77,32.3,882,0
16.69,12.12,120,1
37.55,41.69,891,0
27.31,38.61,186,0
8.65,17.25,112,0
14.91,40.55,638,0
35.75,6.72,844,1
8.43,26.95,579,0
43.3,42.42,961,1
27.28,39.22,949,0
26.63,19.24,727,1
31.66,12.31,197,1
42.11,13.42,986,1
20.65,25.58,235,0
35.51,28.87,637,1
30.46,6.31,589,1
17.02,21.54,93,0
44.54,38.22,882,1
40.88,22.77,698,1
34.63,11.77,411,1
43.28,43.19,162,0
44.03,15.65,210,1
36.88,36.94,806,1
42.67,12.75,667,1
36.39,21.93,58,1
35.61,24.62,775,1
32.84,25.03,367,1
38.87,25.66,374,1
12.14,14.0,167,0
44.64,25.64,435,1
44.23,24.27,255,1
6.32,13.35,765,0
42.16,44.53,78,1
10.8,39.62,257,0
20.08,40.5,353,0
38.46,32.42,634,1
